Starting session: experiment_mix_2_noise0.10_trial0000
Traders: ['B00', 'B01', 'B02', 'B03', 'B04', 'B05', 'B06', 'B07', 'B08', 'B09', 'S00', 'S01', 'S02', 'S03', 'S04', 'S05', 'S06', 'S07', 'S08', 'S09', 'P00', 'P01', 'P02']
Trade: time=1255.78, price=178, party1=S08, party2=B06
Trade: time=1255.96, price=191, party1=B09, party2=S01
Trade: time=1256.57, price=159, party1=B02, party2=S04
Trade: time=1259.04, price=173, party1=S04, party2=B08
Trade: time=1262.09, price=174, party1=B03, party2=S02
Trade: time=1262.13, price=166, party1=B02, party2=S05
Trade: time=1262.87, price=140, party1=S08, party2=B08
Trade: time=1265.00, price=160, party1=B05, party2=S06
Trade: time=1266.96, price=189, party1=S05, party2=B09
Trade: time=1267.13, price=149, party1=B06, party2=S00
Trade: time=1268.96, price=180, party1=B08, party2=S07
Trade: time=1269.00, price=194, party1=P01, party2=B00
Trade: time=1270.26, price=158, party1=S07, party2=B02
Trade: time=1271.83, price=152, party1=B03, party2=S09
Trade: time=1280.00, price=159, party1=S04, party2=B02
Trade: time=1287.39, price=151, party1=S01, party2=B00
Trade: time=1291.52, price=175, party1=B07, party2=S07
Trade: time=1292.26, price=170, party1=B09, party2=S05
Trade: time=1292.74, price=167, party1=B00, party2=S01
Trade: time=1293.61, price=194, party1=P01, party2=B09
Trade: time=1294.26, price=185, party1=S03, party2=B06
Trade: time=1303.48, price=173, party1=B05, party2=S09
Trade: time=1305.04, price=189, party1=B09, party2=S06
Trade: time=1307.78, price=171, party1=S03, party2=B07
Trade: time=1311.22, price=180, party1=B06, party2=S05
Trade: time=1311.61, price=170, party1=B03, party2=S06
Trade: time=1313.52, price=188, party1=S07, party2=B03
Trade: time=1316.22, price=187, party1=B00, party2=S03
Trade: time=1318.17, price=171, party1=S05, party2=B01
Trade: time=1329.00, price=164, party1=B01, party2=S02
Trade: time=1335.91, price=153, party1=B00, party2=S03
Trade: time=1336.39, price=181, party1=S04, party2=B06
Trade: time=1339.70, price=157, party1=B08, party2=S05
Trade: time=1341.13, price=164, party1=S07, party2=B01
Trade: time=1342.04, price=173, party1=B00, party2=S04
Trade: time=1343.48, price=187, party1=B02, party2=S08
Trade: time=1347.39, price=163, party1=S01, party2=B02
Trade: time=1348.13, price=177, party1=S06, party2=B05
Trade: time=1351.70, price=168, party1=B04, party2=S03
Trade: time=1357.52, price=161, party1=B06, party2=S07
Trade: time=1361.13, price=176, party1=S08, party2=B08
Trade: time=1362.43, price=163, party1=S03, party2=B05
Trade: time=1365.13, price=164, party1=S04, party2=B03
Trade: time=1365.87, price=163, party1=B05, party2=S09
Trade: time=1369.09, price=188, party1=S07, party2=B07
Trade: time=1379.39, price=190, party1=B06, party2=S05
Trade: time=1384.00, price=149, party1=B00, party2=S00
Trade: time=1387.09, price=176, party1=S00, party2=B05
Trade: time=1396.91, price=121, party1=S01, party2=B08
Trade: time=1398.70, price=170, party1=B01, party2=S07
Trade: time=1398.96, price=166, party1=B07, party2=S04
Trade: time=1402.35, price=194, party1=P01, party2=B02
Trade: time=1407.13, price=173, party1=S02, party2=B01
Trade: time=1408.57, price=160, party1=B07, party2=S04
Trade: time=1410.04, price=160, party1=B09, party2=S00
Trade: time=1413.39, price=163, party1=B02, party2=S00
Trade: time=1426.70, price=145, party1=S09, party2=B00
Trade: time=1428.30, price=151, party1=B08, party2=S03
Trade: time=1429.78, price=158, party1=B02, party2=S09
Trade: time=1432.52, price=168, party1=B05, party2=S09
Trade: time=1438.04, price=137, party1=S00, party2=B07
Trade: time=1444.48, price=163, party1=B06, party2=S04
Trade: time=1444.87, price=187, party1=S06, party2=B01
Trade: time=1451.61, price=164, party1=B04, party2=S02
Trade: time=1452.87, price=170, party1=B00, party2=S06
Trade: time=1453.43, price=160, party1=B06, party2=S01
Trade: time=1455.87, price=182, party1=B03, party2=S03
Trade: time=1456.04, price=145, party1=B04, party2=S07
